gene,probe,log2FC,fold_change,p_value,p_adj,status
PARP1,208644_at,0.6939072391548144,1.6176586829114468,1.1645347776952871e-16,3.0173637734167537e-15,Up
TIAM1,213135_at,-0.6933426779514438,0.6184193310687162,2.364387383517193e-09,1.8782760808168845e-08,Down
TNFRSF17,206641_at,0.6928190319736105,1.6164389628679714,2.68535904351315e-05,0.00010356153611388634,Up
KRT4,213240_s_at,-0.6925080007952129,0.6187772236391866,8.673294197989701e-08,5.244695104852226e-07,Down
LAMB3,209270_at,0.6921909494225922,1.615735393428333,6.227817593911174e-06,2.6692529225836258e-05,Up
SMC2,204240_s_at,0.6919947770802306,1.6155157066344799,2.5635452537566747e-06,1.1871047150760595e-05,Up
MST4,218499_at,0.6915218467832469,1.614986210734721,4.582796311288189e-08,2.9093575556819006e-07,Up
BNIP3,201849_at,0.691408599053835,1.6148594435815293,3.1704857412995387e-07,1.7371018877152107e-06,Up
CYBRD1,217889_s_at,-0.6910636621924686,0.6193970159900184,2.7662257183610632e-14,4.954968463202538e-13,Down
PGK1,200738_s_at,0.6903888651900001,1.613718422800284,2.1478765910458928e-14,3.8974864884589277e-13,Up
SPAG5,203145_at,0.690166163667489,1.613469340490261,2.0668427060454117e-14,3.7596290627599925e-13,Up
SULT1C2,211470_s_at,0.6895584470686131,1.6127898305571289,3.452378927496661e-05,0.00013056578350544484,Up
CRLF1,206315_at,0.689200682058762,1.6123899343795727,4.333620766474357e-05,0.0001607826698956845,Up
SLC5A3,213164_at,0.6891569530302597,1.612341062528742,6.352340413486464e-09,4.707322960881905e-08,Up
GNA11,213766_x_at,-0.6887642196776937,0.6203850303874446,2.4579326006215216e-17,7.094574111353544e-16,Down
JAG1,209099_x_at,-0.6876716421924698,0.6208550364689632,5.391763076039934e-08,3.3786461367659683e-07,Down
SNRPG,205644_s_at,0.6876079560957056,1.6106108485855861,1.9045220546517443e-12,2.5596179097590363e-11,Up
TNNT1,213201_s_at,0.6873017377058384,1.6102690256024283,2.2188923145830645e-08,1.4852381329484658e-07,Up
